app,machine,scene,layout,ray_count,hits,trace_time-ms,group,ray_type,total-memory-b,bvh-memory-b
rt,x86,lucy,pbrt-soaos-align16,2097152,1576388,68,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,4194304,3153714,127,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos-align16,8388608,6308380,248,bvh2,primary,1266374928,256368720
rt,x86,lucy,pbrt-soaos,262144,196779,12,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,2097152,1576388,66,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,4194304,3153714,128,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,8388608,6308380,238,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,262144,196779,11,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,1048576,787966,35,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,2097152,1576388,65,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,4194304,3153714,126,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,8388608,6308380,238,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,262144,196779,12,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,2097152,1576388,65,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,4194304,3153714,126,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,8388608,6308380,237,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,262144,196779,15,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,1048576,787966,34,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,2097152,1576388,66,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,4194304,3153714,124,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,8388608,6308380,238,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,262144,196779,11,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,1048576,787966,33,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,2097152,1576388,65,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,4194304,3153714,124,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,8388608,6308380,237,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,262144,196779,11,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,524288,393812,18,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,1048576,787966,33,bvh2,primary,1180918688,170912480
rt,x86,lucy,pbrt-soaos,2097152,1576388,66,bvh2,primary,1180918688,170912480
